"id","target"
"630332","1"
"630334","0"
"630336","0"
"630338","0"
"630339","0"
"630340","0"
"630341","0"
"630342","0"
"630343","0"
"630344","0"
"630345","0"
"630346","0"
"630347","0"
"630348","0"
"630349","0"
"630350","0"
"630351","0"
"630354","1"
"630355","1"
"630356","1"
"630357","1"
"630358","1"
"630359","1"
"630360","1"
"630361","1"
"630362","1"
"630363","1"
"630364","1"
"630365","1"
"630366","1"
"630367","1"
"630368","0"
"630369","1"
"630370","1"
"630374","1"
"630375","1"
"630376","1"
"630377","1"
"630378","1"
"630380","0"
"630381","1"
"630382","1"
"630383","1"
"630385","1"
"630388","1"
"630390","1"
"630395","1"
"630396","1"
"630397","1"
"630398","1"
"630399","1"
"630400","1"
"630401","1"
"630402","1"
"630403","1"
"630404","1"
"630405","1"
"630406","1"
"630407","0"
"630409","0"
"630410","1"
"630411","1"
"630412","1"
"630413","1"
"630414","1"
"630415","1"
"630417","1"
"630418","1"
"630419","1"
"630420","1"
"630421","0"
"630422","1"
"630423","1"
"630424","1"
"630425","1"
"630426","1"
"630427","1"
"630429","1"
"630430","1"
"630431","1"
"630432","1"
"630433","1"
"630434","1"
"630435","1"
"630436","1"
"630437","1"
"630438","1"
"630439","1"
"630440","1"
"630441","1"
"630445","1"
"630446","1"
"630447","1"
"630448","1"
"630449","1"
"630450","1"
"630451","1"
"630452","1"
"630453","1"
"630466","1"
"630467","1"
"630470","1"
"630471","1"
"630472","1"
"630473","1"
"630474","1"
"630476","1"
"630477","1"
"630478","1"
"630479","1"
"630480","1"
"630481","1"
"630482","1"
"630483","1"
"630485","1"
"630486","1"
"630487","1"
"630488","1"
"630489","0"
"630490","1"
"630491","1"
"630493","1"
"630494","0"
"630495","0"
"630497","1"
"630498","1"
"630499","0"
"630500","1"
"630518","1"
"630519","1"
"630520","1"
"630521","1"
"630522","1"
"630524","0"
"630525","0"
"630526","0"
"630527","0"
"630529","0"
"630530","0"
"630531","0"
"630532","0"
"630533","0"
"630534","1"
"630535","1"
"630536","1"
"630539","1"
"630542","1"
"630543","1"
"630544","1"
"630545","1"
"630548","1"
"630549","1"
"630550","1"
"630551","1"
"630553","1"
"630554","1"
"630555","1"
"630556","1"
"630559","1"
"630560","1"
"630561","1"
"630565","1"
"630566","1"
"630567","1"
"630568","1"
"630569","1"
"630571","1"
"630572","1"
"630573","1"
"630574","1"
"630575","1"
"630576","1"
"630577","0"
"630582","0"
"630584","0"
"630585","1"
"630586","0"
"630587","0"
"630590","1"
"630591","1"
"630592","1"
"630594","1"
"630595","1"
"630596","0"
"630597","1"
"630598","1"
"630599","1"
"630600","1"
"630602","1"
"630604","1"
"630605","1"
"630606","1"
"630607","1"
"630609","1"
"630610","1"
"630611","1"
"630612","1"
"630613","1"
"630614","0"
"630616","1"
"630621","1"
"630622","1"
"630623","0"
"630624","1"
"630625","1"
"630626","1"
"630627","1"
"630628","1"
"630629","0"
"630632","1"
"630634","1"
"630635","1"
"630637","1"
"630638","0"
"630639","1"
"630640","1"
"630641","1"
"630642","0"
"630643","1"
"630645","1"
"630646","1"
"630650","0"
"630651","1"
"630652","1"
"630653","1"
"630656","1"
"630657","1"
"630658","1"
"630659","1"
"630660","1"
"630661","1"
"630666","1"
"630671","1"
"630672","0"
"630674","0"
"630675","1"
"630676","1"
"630679","1"
"630686","1"
"630687","1"
"630688","1"
"630689","1"
"630690","1"
"630691","1"
"630692","1"
"630695","0"
"630698","1"
"630699","1"
"630700","1"
"630701","1"
"630702","1"
"630703","0"
"630704","0"
"630705","1"
"630706","1"
"630707","0"
"630708","1"
"630709","0"
"630712","1"
"630713","1"
"630716","1"
"630717","1"
"630722","1"
"630723","0"
"630724","1"
"630725","1"
"630726","1"
"630727","1"
"630728","1"
"630729","1"
"630730","1"
"630733","1"
"630734","1"
"630737","1"
"630738","1"
"630739","0"
"630740","0"
"630741","1"
"630742","1"
"630743","1"
"630744","1"
"630745","1"
"630746","1"
"630747","1"
"630748","1"
"630749","0"
"630755","1"
"630756","1"
"630758","1"
"630762","1"
"630763","1"
"630766","1"
"630767","1"
"630768","1"
"630769","0"
"630770","1"
"630771","1"
"630772","1"
"630773","1"
"630774","0"
"630775","1"
"630776","0"
"630778","1"
"630779","1"
"630780","1"
"630781","1"
"630782","1"
"630784","0"
"630785","1"
"630786","0"
"630787","1"
"630788","1"
"630789","1"
"630790","0"
"630791","0"
"630792","1"
"630793","1"
"630794","1"
"630795","1"
"630796","1"
"630797","1"
"630798","1"
"630800","1"
"630801","1"
"630802","1"
"630803","1"
"630804","0"
"630805","1"
"630806","1"
"630807","1"
"630808","1"
"630809","1"
"630810","1"
"630811","1"
"630812","1"
"630813","1"
"630814","1"
"630815","1"
"630816","1"
"630817","1"
"630818","1"
"630819","1"
"630820","1"
"630821","1"
"630822","1"
"630824","1"
"630825","0"
"630826","1"
"630827","1"
"630828","1"
"630829","1"
"630831","1"
"630832","1"
"630833","1"
"630834","1"
"630835","1"
"630836","1"
"630837","0"
"630838","1"
"630840","1"
"630841","1"
"630842","1"
"630843","1"
"630844","1"
"630845","1"
"630846","1"
"630847","1"
"630848","1"
"630851","1"
"630852","1"
"630853","1"
"630854","1"
"630855","1"
"630856","1"
"630857","1"
"630858","1"
"630859","1"
"630860","1"
"630862","1"
"630863","1"
"630864","1"
"630869","1"
"630870","0"
"630871","1"
"630872","1"
"630873","1"
"630874","1"
"630875","1"
"630876","1"
"630877","1"
"630880","0"
"630882","1"
"630883","1"
"630884","1"
"630885","1"
"630886","1"
"630891","1"
"630894","1"
"630915","0"
"630916","1"
"630920","1"
"630921","1"
"630922","1"
"630923","1"
"630924","1"
"630925","1"
"630929","1"
"630934","1"
"630935","1"
"630936","1"
"630941","1"
"630942","0"
"630943","1"
"630944","1"
"630945","1"
"630947","1"
"630948","1"
"630950","1"
"630951","1"
"630953","1"
"630954","1"
"630959","1"
"630960","0"
"630961","1"
"630962","1"
"630963","0"
"630964","0"
"630967","1"
"630969","1"
"630973","0"
"630974","1"
"630975","1"
"630976","0"
"630977","0"
"630978","1"
"630979","0"
"630980","1"
"630981","1"
"630982","1"
"630983","1"
"630984","1"
"630985","0"
"630986","1"
"630987","1"
"630988","1"
"630989","1"
"630990","1"
"630991","1"
"630992","1"
"630993","1"
"630994","1"
"630995","1"
"630998","0"
"630999","0"
"631000","1"
"631002","1"
"631003","1"
"631004","1"
"631008","1"
"631009","1"
"631010","0"
"631011","1"
"631012","0"
"631013","1"
"631014","1"
"631015","1"
"631018","1"
"631020","0"
"631021","1"
"631022","1"
"631024","1"
"631025","1"
"631026","1"
"631028","1"
"631029","1"
"631030","1"
"631031","1"
"631034","0"
"631037","1"
"631039","1"
"631041","1"
"631043","1"
"631047","1"
"631050","1"
"631051","0"
"631052","0"
"631055","1"
"631057","1"
"631058","1"
"631059","1"
"631060","1"
"631061","1"
"631063","1"
"631064","1"
"631069","0"
"631070","1"
"631073","1"
"631074","1"
"631076","1"
"631077","1"
"631079","0"
"631080","1"
"631082","1"
"631084","0"
"631086","1"
"631087","0"
"631089","1"
"631091","1"
"631093","1"
"631094","1"
"631095","1"
"631096","1"
"631097","1"
"631098","1"
"631100","1"
"631101","1"
"631104","1"
"631107","1"
"631108","1"
"631110","0"
"631111","0"
"631112","1"
"631113","0"
"631115","1"
"631116","1"
"631118","1"
"631120","1"
"631122","1"
"631125","1"
"631126","1"
"631127","0"
"631128","1"
"631129","1"
"631130","1"
"631131","1"
"631132","1"
"631133","0"
"631134","1"
"631135","0"
"631136","1"
"631137","1"
"631138","0"
"631139","1"
"631140","1"
"631141","0"
"631142","0"
"631143","0"
"631145","0"
"631146","1"
"631147","1"
"631148","1"
"631150","1"
"631155","1"
"631156","1"
"631157","1"
"631158","1"
"631159","1"
"631163","0"
"631164","0"
"631165","1"
"631168","1"
"631172","1"
"631175","1"
"631176","0"
"631177","0"
"631179","1"
"631182","0"
"631183","1"
"631186","1"
"631188","1"
"631189","0"
"631190","1"
"631191","1"
"631192","0"
"631194","1"
"631195","0"
"631196","0"
"631197","1"
"631198","1"
"631199","1"
"631200","1"
"631201","1"
"631202","1"
"631203","1"
"631204","1"
"631205","1"
"631206","1"
"631207","1"
"631208","1"
"631210","0"
"631212","1"
"631213","1"
"631214","1"
"631215","1"
"631217","1"
"631229","1"
"631230","1"
"631231","1"
"631232","1"
"631233","1"
"631234","1"
"631235","1"
"631236","1"
"631237","1"
"631242","1"
"631243","1"
"631244","1"
"631246","1"
"631247","1"
"631248","1"
"631249","1"
"631251","1"
"631252","1"
"631256","1"
"631258","1"
"631260","0"
"631263","1"
"631264","1"
"631265","0"
"631266","1"
"631267","1"
"631268","1"
"631270","1"
"631272","0"
"631273","1"
"631274","1"
"631277","1"
"631278","0"
"631279","1"
"631280","0"
"631281","1"
"631284","1"
"631285","1"
"631286","1"
"631289","1"
"631290","1"
"631291","1"
"631292","0"
"631293","1"
"631294","1"
"631295","1"
"631303","0"
"631304","0"
"631305","0"
"631306","1"
"631307","0"
"631308","1"
"631309","0"
"631310","1"
"631311","1"
"631313","1"
"631314","1"
"631315","1"
"631316","1"
"631317","1"
"631318","1"
"631319","1"
"631324","1"
"631325","1"
"631327","1"
"631328","1"
"631329","1"
"631335","1"
"631336","1"
"631337","1"
"631338","1"
"631339","1"
"631340","1"
"631341","1"
"631342","1"
"631343","1"
"631344","0"
"631345","1"
"631349","1"
"631350","1"
"631351","1"
"631352","1"
"631354","1"
"631355","1"
"631356","1"
"631357","1"
"631358","1"
"631359","1"
"631362","1"
"631364","1"
"631365","1"
"631366","1"
"631367","1"
"631368","1"
"631369","1"
"631370","1"
"631371","1"
"631372","1"
"631373","1"
"631374","1"
"631375","1"
"631376","1"
"631377","1"
"631378","1"
"631381","1"
"631383","1"
"631384","1"
"631386","1"
"631387","1"
"631388","1"
"631389","1"
"631390","1"
"631391","1"
"631392","1"
"631393","1"
"631394","1"
"631395","1"
"631396","1"
"631397","1"
"631398","0"
"631400","0"
"631401","1"
"631404","1"
"631405","1"
"631406","1"
"631407","1"
"631408","1"
"631411","1"
"631412","0"
"631418","1"
"631419","0"
"631420","1"
"631421","1"
"631422","1"
"631423","1"
"631424","0"
"631426","1"
"631428","1"
"631429","1"
"631430","1"
"631431","1"
"631433","1"
"631434","1"
"631435","1"
"631438","1"
"631439","1"
"631441","1"
"631442","1"
"631444","0"
"631447","1"
"631449","1"
"631450","1"
"631452","1"
"631454","1"
"631455","1"
"631456","1"
"631457","1"
"631458","1"
"631460","1"
"631461","1"
"631462","1"
"631464","1"
"631465","1"
"631467","1"
"631470","0"
"631471","1"
"631472","0"
"631473","1"
"631474","1"
"631475","1"
"631476","1"
"631477","1"
"631478","1"
"631479","1"
"631481","1"
"631482","1"
"631483","1"
"631491","1"
"631492","0"
"631493","0"
"631511","1"
"631520","1"
"631540","1"
"631541","0"
"631549","1"
"631551","1"
"631558","0"
"631561","1"
"631562","1"
"631563","1"
"631565","1"
"631570","1"
"631571","1"
"631573","1"
"631575","1"
"631579","1"
"631583","1"
"631584","0"
"631585","1"
"631586","1"
"631587","1"
"631588","1"
"631589","1"
"631591","1"
"631602","1"
"631604","1"
"631606","0"
"631617","1"
"631619","1"
"631620","0"
"631625","1"
"631627","1"
"631628","0"
"631629","1"
"631630","0"
"631633","1"
"631634","1"
"631640","1"
"631641","1"
"631648","1"
"631668","1"
"631673","0"
"631674","0"
"631675","1"
"631676","0"
"631677","1"
"631679","1"
"631682","1"
"631684","0"
"631685","1"
"631698","1"
"631701","1"
"631704","0"
"631705","1"
"631706","1"
"631708","1"
"631710","1"
"631711","1"
"631712","0"
"631714","1"
"631715","1"
"631716","1"
"631727","1"
"631728","1"
"631729","1"
"631743","1"
"631745","0"
"631761","0"
"631762","1"
"631764","1"
"631765","0"
"631768","0"
"631769","1"
"631772","1"
"631776","1"
"631789","1"
"631793","1"
"631797","0"
"631798","0"
"631799","1"
"631800","0"
"631807","0"
"631808","1"
"631812","1"
"631816","1"
"631819","1"
"631824","1"
"631826","0"
"631827","1"
"631828","1"
"631829","1"
"631830","1"
"631834","1"
"631838","1"
"631840","1"
"631845","1"
"631848","1"
"631849","1"
"631853","1"
"631854","1"
